Exclude,Subject,Year,ID,ID2,ID3,Syllabus,A,B,C,D,CorePicture,CoreQuestion,Question,Marks,Answer,Solution,Picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,17,,,M2,2.55 kL,2550 kL,255000 kL,2550000 kL,,"During a flood 1.5 hectares of land was covered by water to a depth of 17 cm.

How many kilolitres of water covered the land? (1 hectare = 10 000 m\(^2\))",,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,18,,,AM3,\( x = {an \over 5} \),\( x = {5a \over n} \),\( x = {a - 5 \over n} \),\( x = 5a - n \),,Which of the following correctly expresses \(x\) as the subject of \( a = {nx  \over 5} \)?,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,19,,,M5,78 cm\(^2\),83 cm\(^2\),166 cm\(^2\),171 cm\(^2\),gm201019,The diagram shows half an ellipse with a rectangle cut out.,What is the area of the shape to the nearest square centimetre?,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,20,,,PB3,0.18,0.28,0.42,0.46,gm201020,Lou and Ali are on a fitness program for one month. The probability that Lou will finish the program successfully is 0.7 while the probability that Ali will finish successfully is 0.6. The probability tree shows this information.,What is the probability that only one of them will be successful?,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,21,,,DA5,,,,,gm201021,"The area graph shows the costs and profits for a business over a period of time.

The information in the area graph is then displayed as a line graph.

Which of the following line graphs best displays the data from the area graph?",,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,22,,,FM4,22.42,25,86.08,87.2,gm201022,"In July, Ms Alott received a statement for her credit card account. The account has no interest free period. Simple interest is calculated and charged to her account on the statement date.",What is the minimum payment due on this account?,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,a,i,FM1,,,,,gm201023a,This advertisement appeared in a newspaper.,"What is the maximum possible salary per annum for this civil engineer, correct to the nearest dollar?",2,85396,\( 1586.70 \times 52 \times 1.035 \\ = 85 396.194 \\ $85 396 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,b,i,"M2
M3",,,,,gm201023b,The elevation and floor plan of a building are shown.,What does this symbol represent on the plan?,1,Shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,b,ii,"M2
M3",,,,,gm201023b,The elevation and floor plan of a building are shown.,What is the value of \(A\) on the elevation in mm?,1,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,b,iii,"M2
M3",,,,,gm201023b,The elevation and floor plan of a building are shown.,Calculate the area of the floor of this building in square metres.,2,46,\( A = 5 \times 8 + 2 \times 3 = 46 \textrm{ m}^2 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,c,i,"DA3
PB2",,,,,gm201023c,"On Saturday, Jonty recorded the colour of T-shirts worn by the people at his gym. The results are shown in the graph.",How many people were at the gym on Saturday? (Assume everyone was wearing a T-shirt.),1,34,\( 5 + 15 + 10 + 3 + 1 = 34 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,c,ii,"DA3
PB2",,,,,gm201023c,"On Saturday, Jonty recorded the colour of T-shirts worn by the people at his gym. The results are shown in the graph.","What is the probability that a person selected at random at the gym on Saturday, would be wearing either a blue or green T-shirt?",1,0.44,\( {5 + 10 \over 34} = {15 \over 34},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,d,i,FM1,,,,,gm201023d,Warrick has a net income of $590 per week. He has created a budget to help manage his money.,"Find the value of X, the amount that Warrick allocates towards electricity each week.",1,25,\begin{eqnarray} X &=& 590 - (175 + 45 + 10 + 15 + 90 + 40 + 30 + 70 + 50 + 40) \\ &=& 590 - 565 \\ &=& \$25 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,d,ii,FM1,,,,,gm201023d,Warrick has a net income of $590 per week. He has created a budget to help manage his money.,"Warrick has an unexpectedly high telephone and internet bill. For the last three weeks, he has put aside his savings as well as his telephone and internet money to pay the bill.

How much money has he put aside altogether to pay the bill?",1,240,\( 3 \times 40 + 3 \times 40 = \$240 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,23,d,iii,FM1,,,,,gm201023d,Warrick has a net income of $590 per week. He has created a budget to help manage his money.,"The bill for the telephone and internet is $620. It is due in two weeks time. Warrick realises he has not put aside enough money to pay the bill.

How could Warrick reallocate non-essential funds in his budget so he has enough money to pay the bill? Justify your answer with suitable reasons and calculations.",3,220,"\begin{eqnarray} \textrm{Already saved} &:& \$240 \\ \textrm{Two weeks additional savings} &:& \$160 \\ \textrm{Total saving} &:& 240 + 160 = \$400 \end{eqnarray}

\( \$620 - \$400 = \$220 \textrm{ short} \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,a,i,AM1,,,,,gm201024a,Fred tried to solve this equation and made a mistake in Line 2.,Rewrite Line 2 correcting his mistake.,1,4y + 8 - 3y - 3 = -3,\begin{eqnarray} 4(y + 2) - 3(y + 1) &=& -3 \\ 4y + 8 - 3y - 3 &=& -3 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,a,ii,AM1,,,,,gm201024a,Fred tried to solve this equation and made a mistake in Line 2.,Continue your solution showing the correct working for Lines 3 and 4 to solve this equation for \(y\).,1,-8,\begin{eqnarray} 4y + 8 - 3y - 3 &=& -3 \\ y + 5 &=& -3 \\ y &=& -8 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,b,i,"AM2
AM4",,,,,gm201024b,"Ashley makes picture frames as part of her business. To calculate the cost, \(C\), in dollars, of making \(x\) frames, she uses the equation \[ C = 40 + 10x \]She sells the frames for $20 each and determines her income, I, in dollars, using the equation \[ I = 20x \]",What does x equal?,2,4,It is the break even point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,c,i,DA6,,,,,,The marks in a class test are normally distributed. The mean is 100 and the standard deviation is 10.,Jason's mark is 115. What is his \(z\)-score?,1,1.5,\( z = {115 - 100 \over 10} = 1.5 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,c,ii,DA6,,,,,,The marks in a class test are normally distributed. The mean is 100 and the standard deviation is 10.,Mary has a \(z\)-score of 0. What mark did she achieve in the test?,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,c,iii,DA6,,,,,,The marks in a class test are normally distributed. The mean is 100 and the standard deviation is 10.,"What percentage of marks lie between 80 and 110?

You may assume the following:

\(\bullet\) 68% of marks have \(z\)-scores between -1 and 1
\(\bullet\) 95% of marks have \(z\)-scores between -2 and 2
\(\bullet\) 99.7% of marks have \(z\)-scores between -3 and 3",,0.815,"\( 68\% + 13{1 \over 2}\% = 81{1 \over 2}\% \)
OR
\( 47{1 \over 2}\% + 34\% = 81{1 \over 2}\% \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,d,i,"M4
M6",,,,,gm201024d,"The base of a lighthouse, \(D\), is at the top of a cliff 168 metres above sea level. The angle of depression from \(D\) to a boat at \(C\) is 28\(^\circ\). The boat heads towards the base of the cliff, \(A\), and stops at \(B\). The distance \(AB\) is 126 metres.","What is the angle of depression from \(D\) to \(B\), correct to the 2 decimal places in degrees?",3,53.13,\begin{eqnarray} \angle DBA = \tan^{-1}({168 \over 126}) &=& 53^\circ 7' 48.37'' \\ &=& 53^\circ 8' \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,24,d,ii,"M4
M6",,,,,gm201024d,"The base of a lighthouse, \(D\), is at the top of a cliff 168 metres above sea level. The angle of depression from \(D\) to a boat at \(C\) is 28\(^\circ\). The boat heads towards the base of the cliff, \(A\), and stops at \(B\). The distance \(AB\) is 126 metres.","How far did the boat travel from \(C\) to \(B\), correct to the nearest metre?",2,190,\begin{eqnarray} \tan{28^\circ} &=& {168 \over AC} \\ AC &=& {168 \over \tan{28^\circ}} \\ &=& 315.96 \\ BC &=& 315.96 - 126 \\ &=& 189.96 \\ &=& 190 \textrm{ m} \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,a,i,DA7,,,,,gm201025a,Rainfall data has been collected at nine locations across NSW. This data is displayed in the scatterplot on page 1 of the Question 25 Writing Booklet.,On the scatterplot circle the median points and hence construct a median regression line.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,a,ii,DA7,,,,,gm201025a,Rainfall data has been collected at nine locations across NSW. This data is displayed in the scatterplot on page 1 of the Question 25 Writing Booklet.,Use this model to predict the average annual rainfall in a location that has 120 days on which rain falls.,1,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,b,i,FM4,,,,,gm201025b,"William wants to buy a car. He takes out a loan for $28 000 at 7% per annum interest for four years.

Monthly repayments for loans at different interest rates are shown in the spreadsheet.",How much interest does William pay over the term of this loan?,2,4183.52,\begin{eqnarray} 670.49 \times 48 &=& \$32 183.52 \\ \textrm{Interest} &=& \$32 183.52 - \$28 000 \\ &=& \$4183.52 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,c,i,M7,,,,,,Lee is going on a cruise ship holiday.,"The ship leaves Port Ary (15\(^\circ\)S, 167\(^\circ\)E) and sails north to Nauru (1\(^\circ\)S, 167\(^\circ\)E) at an average speed of 15 knots.

How long does the journey take? (You may assume that 1\(^\circ\) on a great circle equals 60 nautical miles.)",2,56,\begin{eqnarray} \textrm{Angle difference} &=& 15^\circ - 1^\circ = 14^\circ \\ \textrm{Distance} &=& 14 \times 60 \\ &=& 840 \textrm{ M} \\ t &=& {d \over s} \\ &=& {840 \over 15} \\ &=& 56 \textrm{ hours} \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,c,ii,M7,,,,,,Lee is going on a cruise ship holiday.,"Lee wants to call home to Sydney (34\(^\circ\)S, 151\(^\circ\)E) from Papeete, Tahiti (17\(^\circ\)S, 149\(^\circ\)W) when it is 7 pm on Friday in Sydney.

Give the time and day in Papeete when she should make the call. (Ignore time zones.) Answer in 24 hour format and days (eg 13:00 Tuesday)",2,23:00 Thursday,"\begin{eqnarray} \textrm{Angle difference} &=& 151 + 149 \\ &=& 300 \\ \textrm{Time difference} &=& {300 \over 15} \\ &=& 20 \textrm{ hours} \end{eqnarray}

\( \textrm{7pm Friday} - 20 = \textrm{11pm Thursday} \)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,25,d,i,FM5,,,,,,"Mark needs $8000 to go on a holiday in three years time. He has a 'Holiday Savings Account' with a balance of $600.

He arranges to deposit $150 into this account at the end of each month for the next three years.

He earns 6% per annum interest on the money in his account, compounded monthly.

Will Mark have enough money for his trip at the end of three years? Justify your answer with suitable calculations.",,4,No,\begin{eqnarray} A &=& 600(1 + {0.06 \over 12})^{36} \\ &=& \$718.01 \\ A &=& 150({(1 + r)^n - 1 \over r}) \\ &=& 150(\frac{(1 + {0.06 \over 12})^{36} - 1}{0.06 \over 12}) \\ &=& 150({(1.005)^{36} - 1 \over 0.005}) \\ &=& 5900.42 \\ \textrm{Saved} &=& 5900.42 + 718.01 \\ &=& \$6618.43 < \$8000 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,a,i,PB3,,,,,,"A design of numberplates has a two-digit number, two letters and then another two-digit number, for example ""22 AC 14"" or ""76 BB 08"".",How many different numberplates are possible using this design?,1,6760000,\( 10 \times 10 \times 26 \times 26 \times 10 \times 10 = 6760000 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,a,ii,PB3,,,,,,"A design of numberplates has a two-digit number, two letters and then another two-digit number, for example ""22 AC 14"" or ""76 BB 08"".","Jo's birthday is 30 December 1992, so she would like a numberplate with either """"30 JO 12"""" or """"19 JO 92"""".

Jo can order a numberplate with 'JO' in the middle but will have to have randomly selected numbers on either side.

What is the probability that Jo is issued with one of the numberplates she would like?",2,1132254,\(10^4 = 10000 \\ \textrm{Probability} = {2 \over 10000} = {1 \over 5000} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,b,i,"DA3
DA4",,,,,gm201026b,"A new shopping centre has opened near a primary school. A survey is conducted to determine the number of motor vehicles that pass the school each afternoon between 2.30 pm and 4.00 pm.

The results for 60 days have been recorded in the table and are displayed in the cumulative frequency histogram.",Find the value of X in the table.,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,b,ii,"DA3
DA4",,,,,gm201026b,"A new shopping centre has opened near a primary school. A survey is conducted to determine the number of motor vehicles that pass the school each afternoon between 2.30 pm and 4.00 pm.

The results for 60 days have been recorded in the table and are displayed in the cumulative frequency histogram.","Carefully copy the cumulative frequency histogram into your writing booklet.

On the cumulative frequency histogram you have copied draw a cumulative frequency polygon (ogive) for this data.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,b,iii,"DA3
DA4",,,,,gm201026b,"A new shopping centre has opened near a primary school. A survey is conducted to determine the number of motor vehicles that pass the school each afternoon between 2.30 pm and 4.00 pm.

The results for 60 days have been recorded in the table and are displayed in the cumulative frequency histogram.","Use your graph to determine the median. Show, by drawing lines on your graph, how you arrived at your answer.",1,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2010,26,b,iv,"DA3
DA4",,,,,gm201026b,"A new shopping centre has opened near a primary school. A survey is conducted to determine the number of motor vehicles that pass the school each afternoon between 2.30 pm and 4.00 pm.

The results for 60 days have been recorded in the table and are displayed in the cumulative frequency histogram.","Prior to the opening of the new shopping centre, the median number of motor vehicles passing the school between 2.30 pm and 4.00 pm was 57 vehicles per day.

What problem could arise from the change in the median number of motor vehicles passing the school before and after the opening of the new shopping centre?

Briefly recommend a solution to this problem.",2,Due to an increase in the median there will be more traffic passing the school. Possible solution is traffic lights should be installed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,c,i,PB4,,,,,,"Tai plays a game of chance with the following outcomes.

\(\bullet\) \( 1 \over 5 \) chance of winning $10
\(\bullet\) \( 1 \over 2 \) chance of winning $3
\(\bullet\) \( 3 \over 10 \) chance of losing $8

The game has a $2 entry fee.

What is his financial expectation from this game in dollars?",,2,-0.9,\( {1 \over 5} \times 10 + {1 \over 2} \times 3 - {3 \over 10} \times 8 - \$2 = -\$0.90 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,26,d,i,M6,,,,,gm201026d,"Find the area of triangle \(ABC\), correct to the nearest square metre.",,3,717,\begin{eqnarray} \cos{C} &=& \frac{50^2 + 40^2 - 83^2}{2 \times 50 \times 40} \\ &=& -0.697 25 \\ C &=& 134.2067854^\circ \\ \textrm{Area} &=& {1 \over 2}ab \sin{C} \\ &=& {1 \over 2} \times 50 \times 40 \times \sin{134.2067854^\circ} \\ &=& 716.828 039 \\ &=& 717 \textrm{ m}^2 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,a,i,AM3,,,,,,Fully simplify \( {4x^2 \over 3y} \div {xy \over 5} \),,3,20x/3y^2,\begin{eqnarray} {4x^2 \over 3y} \div {xy \over 5} &=& {4x^2 \over 3y} \times {5 \over xy} \\ &=& {20x^2 \over 3xy^2} \\ &=& {20x \over 3y^2} \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,b,i,"DA1
DA5",,,,,gm201027b,The graphs show the distribution of the ages of children in Numbertown in 2000 and 2010.,"In 2000 there were 1750 children aged 0-18 years.

How many children were aged 12-18 years in 2000?",1,875,\( \textrm{50% of 1750} = 875 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,b,ii,"DA1
DA5",,,,,gm201027b,The graphs show the distribution of the ages of children in Numbertown in 2000 and 2010.,"The number of children aged 12-18 years is the same in both 2000 and 2010.

How many children aged 0-18 years are there in 2010?",1,3500,\( \textrm{25% is 875} \\ 875 \times 4 = 3500 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2010,27,b,iii,"DA1
DA5",,,,,gm201027b,The graphs show the distribution of the ages of children in Numbertown in 2000 and 2010.,"Identify TWO changes in the distribution of ages between 2000 and 2010. In your answer, refer to measures of location or spread or the shape of the distributions.",2,"There is a greater proportion of younger children in 2010 than in 2000. That is the median has changed from 12 to 6.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2010,27,b,iv,"DA1
DA5",,,,,gm201027b,The graphs show the distribution of the ages of children in Numbertown in 2000 and 2010.,"What would be ONE possible implication for government planning, as a consequence of this change in the distribution of ages?",1,More primary schools will need to be built.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,c,i,"AM2
AM4
DA7
FM3",,,,,gm201027c,"The graph shows tax payable against taxable income, in thousands of dollars.",Use the graph to find the tax payable on a taxable income of $21 000.,1,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,c,ii,"AM2
AM4
DA7
FM3",,,,,gm201027c,"The graph shows tax payable against taxable income, in thousands of dollars.",Use suitable points from the graph to show that the gradient of the section of the graph marked A is \( 1 \over 3 \).,1,43103,\( {8000 - 6000 \over 36000 - 30000} = {1 \over 3} \\ \textrm{OR} \\ {6 \over 18} = {1 \over 3} \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,c,iii,"AM2
AM4
DA7
FM3",,,,,gm201027c,"The graph shows tax payable against taxable income, in thousands of dollars.",How much of each dollar earned between $21 000 and $39 000 is payable in tax to the nearest cent?,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,27,c,iv,"AM2
AM4
DA7
FM3",,,,,gm201027c,"The graph shows tax payable against taxable income, in thousands of dollars.","Write an equation that could be used to calculate the tax payable, \(T\), in terms of the taxable income, \(I\), for taxable incomes between $21 000 and $39 000.",2,T = (1/3)I - 4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,28,a,i,"FM4
AM4",,,,,gm201028a,The table shows monthly home loan repayments with interest rate changes from February to October 2009.,What is the change in monthly repayments on a $250 000 loan from February 2009 to April 2009?,1,15,\( 1588 - 1573 = \$15 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,28,a,ii,"FM4
AM4",,,,,gm201028a,The table shows monthly home loan repayments with interest rate changes from February to October 2009.,"Xiang wants to borrow $307 000 to buy a house.

Xiang's bank approves loans for customers if their loan repayments are no more than 30% of their monthly gross salary.

Xiang's monthly gross salary is $6 500. If she had applied for the loan in October 2009, would her bank have approved her loan? 

Justify your answer with suitable calculations.",3,No,\( {30 \over 100} \times 6500 = 1950 \\ 1942 + 7 \times 6.47 = \$1987.29 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2010,28,a,iii,"FM4
AM4",,,,,gm201028a,The table shows monthly home loan repayments with interest rate changes from February to October 2009.,"Jack took out a loan at the same time and for the same amount as Xiang. Graphs of their loan balances are shown.

Identify TWO differences between the graphs and provide a possible explanation for each difference, making reference to interest rates and/or loan repayments.",2,"More repayments were made early in Jack's loan before 12 years
OR
Larger repayments were made early in Jack's loan before 12 years

The interest rate may have increased after 12 years and the repayments remained the same

Jack could have taken out a loan with a lower interest rate.",,gm201028aiii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,28,b,i,"M2
M5
AM4",,,,,gm201028b,Moivre's manufacturing company produces cans of Magic Beans. The can has a diameter of 10 cm and a height of 10 cm.,"Cans are packed in boxes that are rectangular prisms with dimensions 30 cm \(\times\) 40 cm \(\times\) 60 cm.

What is the maximum number of cans that can be packed into one of these boxes?",1,72,\( 6 \times 4 \times 3 = 72 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,28,b,ii,"M2
M5
AM4",,,,,gm201028b,Moivre's manufacturing company produces cans of Magic Beans. The can has a diameter of 10 cm and a height of 10 cm.,"The shaded label on the can shown wraps all the way around the can with no overlap.

What area of paper is needed to make the labels for all the cans in this box when the box is full?",2,20357.5,\( 72 \times 2\pi \times 5 \times 9 = 20357.5 \textrm{ cm}^2 \),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2010,28,b,iii,"M2
M5
AM4",,,,,gm201028b,Moivre's manufacturing company produces cans of Magic Beans. The can has a diameter of 10 cm and a height of 10 cm.,The company is considering producing larger cans. Monica says if you double the diameter of the can this will double the volume. Is Monica correct? Justify your answer with suitable calculations.,2,No,\begin{eqnarray} V &=& \pi r^2 h \\ &=& \pi \times 100 \times 10 \\ &=& 3141.59 \textrm{ cm}^3 \\ \textrm{Original volume} &=& \pi \times 5^2 \times 10 \\ &=& 785.398 \textrm{ cm}^3 \end{eqnarray},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MG2,2010,28,b,iv,"M2
M5
AM4",,,,,gm201028b,Moivre's manufacturing company produces cans of Magic Beans. The can has a diameter of 10 cm and a height of 10 cm.,"The company wants to produce a can with a volume of 1570 cm\(^3\), using the least amount of metal. Monica is given the job of determining the dimensions of the can to be produced. She considers the following graphs.

What radius and height should Monica recommend that the company use to minimise the amount of metal required to produce these cans? Justify your choice of dimensions with reference to the graphs and/or suitable calculations.",2,Radius of 6.3cm and height of 12.6cm,Monica should recommend a radius of 6.3 cm as this gives the minimum surface area for the can.,gm201028biv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,1,,,PB1,\( 33 {1 \over 3} \% \),\( 50 \% \),\( 80 \% \),\( 100 \% \),,"A newspaper states: 'It will most probably rain tomorrow.'

Which of the following best represents the probability of an event that will most probably occur?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,2,,,AM2,6,12,18,24,gm20092,The step graph shows the charges for a carpark.,"Maria enters the carpark at 10:10 am and exits at 1:30 pm.

How much will she pay in charges?",1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,3,,,DA4,Mean,Median,Mode,Range,,"The eye colours of a sample of children were recorded.

When analysing this data, which of the following could be found?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,4,,,M4,\( 8 \over \cos{30^\circ} \),\( 8 \over \sin{30^\circ} \),\( 8 \times \cos{30^\circ} \),\( 8 \times \sin{30^\circ} \),gm20094,Which is the correct expression for the value of \(x\) in this triangle?,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,5,,,DA1,"Display, organise, conclude, analyse","Organise, display, conclude, analyse","Display, organise, analyse, conclude","Organise, display, analyse, conclude",,"Jamie wants to know how many songs were downloaded legally from the internet in the last 12 months by people aged 18-25 years. He has decided to conduct a statistical inquiry.

After he collects the data, which of the following shows the best order for the steps he should take with the data to complete his inquiry?",,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,6,,,"FM2
AM4",\( 35000(1 + 0.03)^{25} \),\( 35000(1 + 3)^{25} \),\( 35000 \times 25 \times 0.03 \),\( 35000 \times 25 \times 3 \),,"A house was purchased in 1984 for $35000. Assume that the value of the house has increased by 3% per annum since then.

Which expression gives the value of the house in 2009?",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,7,,,PB3,6,8,12,18,,"Two people are to be selected from a group of four people to form a committee.

How many different committees can be formed?",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,8,,,DA5,0.23,0.45,0.47,0.55,gm20098,Some men and women were surveyed at a football game. They were asked which team they supported. The results are shown in the two-way table.,"What percentage of the women surveyed supported Team \(B\), correct to the nearest percent?",1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,9,,,PB4,20,24,30,36,,"A wheel has the numbers 1 to 20 on it, as shown in the diagram. Each time the wheel is spun, it stops with the marker on one of the numbers.","The wheel is spun 120 times.

How many times would you expect a number less than 6 to be obtained?",1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,10,,,FM1,7.02,12.48,14.04,16.05,,"Billy worked for 35 hours at the normal hourly rate of pay and for five hours at double time. He earned $561.60 in total for this work.

What was the normal hourly rate of pay?",,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,11,,,M5,34 cm\(^2\),42 cm\(^2\),50 cm\(^2\),193 cm\(^2\),gm200911,,"What is the area of the shaded part of this quadrant, to the nearest square centimetre?",1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,12,,,M1,0.75,7.5,75,7500,,How many square centimetres are in 0.0075 square metres?,,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,13,,,AM2,0.06,0.11,0.32,0.64,gm200913,"The volume of water in a tank changes over six months, as shown in the graph.","Consider the overall decrease in the volume of water.

What is the average percentage decrease in the volume of water per month over this time, to the nearest percent?",1,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,14,,,AM3,2x,6x,2,12,,"If \(A = 6x + 10\), and \(x\) is increased by 2, what will be the corresponding increase in \(A\)?",,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,15,,,AM3,\( n = \pm {\sqrt{rv} \over 3m} \),\( n = \pm r \sqrt{ v \over 3m} \),\( n = \pm {r \sqrt{v} \over 3m} \),\( n = \pm \sqrt{ rv \over 3m} \),,Which of the following correctly expresses n as the subject of \( v = {3mn^2 \over r} \)?,,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,16,,,AM4,,,,,gm200916,"The time for a car to travel a certain distance varies inversely with its speed.

Which of the following graphs shows this relationship?",,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG2,2009,17,,,FM5,\( 100(\frac{(1 + {0.08 \over 52})^{35} - 1}{0.08 \over 52}) \),\( 100(\frac{(1 + {0.08})^{35} - 1}{0.08}) \),\( 100(\frac{(1 + {0.08 \over 52})^{1820} - 1}{0.08 \over 52}) \),\( 100(\frac{(1 + {0.08})^{1820} - 1}{0.08}) \),,"Sally decides to put $100 per week into her superannuation fund. The interest rate quoted is 8% per annum, compounded weekly.

Which expession will calculate the future value of her superannuation at the end of 35 years?",,1,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
